Ref	x	y	Connectivity	Point First Moment	Point Second Moment	Visual Integration [HH]	conn	integ
1179719	-423.5119048	334.6315789	133	6802.9316	476096	2.6972201	2	0.85978901
1179720	-423.5119048	342.1263158	137	7234.8198	519360	2.6985505	2	0.85978901
1245218	-416.0714286	57.32631579	236	21804.422	2905920	2.2538414	3	0.928572
1245219	-416.0714286	64.82105263	235	21737.498	2924096	2.2536092	3	0.928572
1245220	-416.0714286	72.31578947	235	21954.389	2997600	2.2536092	3	0.928572
1245221	-416.0714286	79.81052632	234	22188.043	3076272	2.2533772	3	0.928572
1245254	-416.0714286	327.1368421	117	5848.6021	411664	2.3197865	2	0.85978901
1245255	-416.0714286	334.6315789	121	6215.1411	450480	2.6932364	2	0.85978901
1245256	-416.0714286	342.1263158	134	7079.1533	518816	2.6975524	2	0.85978901
1245257	-416.0714286	349.6210526	137	7447.5674	560256	2.6985505	2	0.85978901
1245258	-416.0714286	357.1157895	143	8086.2471	623856	2.700882	2	0.85978901
1310754	-408.6309524	57.32631579	236	21462.842	2810320	2.2538414	3	0.928572
1310755	-408.6309524	64.82105263	235	21429.721	2829920	2.2536092	3	0.928572
1310756	-408.6309524	72.31578947	234	21635.971	2901552	2.2533772	3	0.928572
1310791	-408.6309524	334.6315789	116	6130.5874	459696	2.3195405	2	0.85978901
1310792	-408.6309524	342.1263158	121	6532.96	501456	2.6932364	2	0.85978901
1310793	-408.6309524	349.6210526	134	7339.3018	566272	2.6975524	2	0.85978901
1310794	-408.6309524	357.1157895	139	7836.7666	618512	2.6992161	2	0.85978901
1310795	-408.6309524	364.6105263	147	8621.5098	694896	2.7022161	2	0.85978901
1376289	-401.1904762	49.83157895	236	21017.365	2662928	2.2538414	3	0.928572
1376290	-401.1904762	57.32631579	235	20956.406	2677344	2.2536092	3	0.928572
1376291	-401.1904762	64.82105263	235	21171.301	2743296	2.2536092	3	0.928572
1376292	-401.1904762	72.31578947	224	19937.715	2573936	2.2510591	3	0.928572
1376329	-401.1904762	349.6210526	121	6896.3013	560240	2.6932364	2	0.85978901
1376330	-401.1904762	357.1157895	135	7711.0234	626672	2.697885	2	0.85978901
1376331	-401.1904762	364.6105263	142	8310.501	686496	2.7005486	2	0.85978901
1376332	-401.1904762	372.1052632	148	8977.1201	757808	2.7025497	2	0.85978901
1441824	-393.75	42.33684211	236	20619.125	2530704	2.2538414	3	0.928572
1441825	-393.75	49.83157895	235	20532.254	2539872	2.2536092	3	0.928572
1441826	-393.75	57.32631579	235	20714.688	2598272	2.2536092	3	0.928572
1441827	-393.75	64.82105263	234	20927.76	2663040	2.2533772	3	0.928572
1441866	-393.75	357.1157895	121	7303.1533	626832	2.6932364	2	0.85978901
1441867	-393.75	364.6105263	137	8145.6543	694848	2.6985505	2	0.85978901
1441868	-393.75	372.1052632	147	8962.6084	772720	2.7022161	2	0.85978901
1441869	-393.75	379.6	150	9419.1924	830848	2.7032175	2	0.85978901
1507359	-386.3095238	34.84210526	239	20341.506	2415408	2.2545381	3	0.928572
1507360	-386.3095238	42.33684211	235	20156.115	2417504	2.2536092	3	0.928572
1507361	-386.3095238	49.83157895	235	20306.783	2468352	2.2536092	3	0.928572
1507362	-386.3095238	57.32631579	234	20494.039	2525920	2.2533772	3	0.928572
1507404	-386.3095238	372.1052632	139	8622.0234	771856	2.6992161	2	0.85978901
1507405	-386.3095238	379.6	149	9443.6426	852800	2.7028837	2	0.85978901
1507406	-386.3095238	387.0947368	153	9991.3408	920720	2.7042196	2	0.85978901
1572895	-378.8690476	34.84210526	239	20084.08	2349616	2.2545381	3	0.928572
1572896	-378.8690476	42.33684211	235	19946.293	2353536	2.2536092	3	0.928572
1572897	-378.8690476	49.83157895	235	20131.043	2404384	2.2536092	3	0.928572
1572940	-378.8690476	372.1052632	50	1196.8065	38544	2.4600952	2	0.85978901
1572941	-378.8690476	379.6	147	9444.3789	874224	2.7022161	2	0.85978901
1572942	-378.8690476	387.0947368	151	9942.876	938992	2.7035515	2	0.85978901
1572943	-378.8690476	394.5894737	158	10694.555	1023344	2.7058916	2	0.85978901
1638430	-371.4285714	27.34736842	244	19910.094	2258000	2.2557001	3	0.928572
1638431	-371.4285714	34.84210526	238	19680.91	2254624	2.2543058	3	0.928572
1638432	-371.4285714	42.33684211	235	19784.658	2297120	2.2536092	3	0.928572
1638477	-371.4285714	379.6	52	1261.7946	42304	2.4606483	2	0.99846399
1638478	-371.4285714	387.0947368	149	9974.623	966144	2.7028837	2	0.99846399
1638479	-371.4285714	394.5894737	157	10712.156	1047920	2.7055571	2	0.99846399
1638480	-371.4285714	402.0842105	169	11944.169	1177904	2.7105842	2	0.99846399
1703965	-363.9880952	19.85263158	328	26915.033	2922816	2.42681	3	0.928572
1703966	-363.9880952	27.34736842	256	20040.736	2195872	2.2584937	3	0.928572
1703967	-363.9880952	34.84210526	238	19521.211	2205424	2.2543058	3	0.928572
1703968	-363.9880952	42.33684211	234	19655.188	2248048	2.2533772	3	0.928572
1704014	-363.9880952	387.0947368	60	1572.7864	57184	2.4631412	2	0.99846399
1704015	-363.9880952	394.5894737	132	8280.9697	783472	2.6972201	2	0.99846399
1704016	-363.9880952	402.0842105	164	11639.8	1177296	2.7085712	2	0.99846399
1704017	-363.9880952	409.5789474	180	13375.018	1367136	2.7142825	2	0.99846399
1769500	-356.547619	12.35789474	328	26781.041	2868192	2.42681	3	0.928572
1769501	-356.547619	19.85263158	328	26509.293	2843216	2.42681	3	0.928572
1769502	-356.547619	27.34736842	327	26133.137	2795200	2.4265409	3	0.928572
1769503	-356.547619	34.84210526	243	19488.338	2165168	2.2554674	3	0.928572
1769551	-356.547619	394.5894737	67	1905.3391	75296	2.4650834	2	0.99846399
1769552	-356.547619	402.0842105	122	6943.5044	608352	2.6938996	2	0.99846399
1769553	-356.547619	409.5789474	178	13232.472	1374160	2.7136095	2	0.99846399
1835035	-349.1071429	4.863157895	263	20254.916	2114720	2.261528	3	0.928572
1835036	-349.1071429	12.35789474	327	26288.422	2780400	2.4265409	3	0.928572
1835037	-349.1071429	19.85263158	327	25994.945	2742592	2.4265409	3	0.928572
1835038	-349.1071429	27.34736842	327	25817.58	2727296	2.4265409	2	0.928572
1835039	-349.1071429	34.84210526	133	7510.7964	639040	2.0980389	2	0.94752198
1835040	-349.1071429	42.33684211	109	6457.354	561872	2.0932224	2	0.94752198
1835088	-349.1071429	402.0842105	74	2277.2795	97696	2.4670289	2	0.99846399
1835089	-349.1071429	409.5789474	127	6968.7393	560384	2.6965551	2	0.99846399
1835090	-349.1071429	417.0736842	201	16267.233	1787008	2.7929223	2	0.99846399
1900571	-341.6666667	4.863157895	243	19192.961	2038144	2.2554674	3	0.928572
1900572	-341.6666667	12.35789474	244	19055.609	2022464	2.2557001	3	0.928572
1900573	-341.6666667	19.85263158	326	25605.113	2667968	2.4262719	3	0.928572
1900574	-341.6666667	27.34736842	161	9063.2998	752432	2.105103	2	0.928572
1900575	-341.6666667	34.84210526	112	6440.0894	565616	2.0938232	2	0.94752198
1900576	-341.6666667	42.33684211	107	6135.7959	527744	2.0928218	2	0.94752198
1900577	-341.6666667	49.83157895	103	5884.3589	493360	2.0920215	2	0.94752198
1900624	-341.6666667	402.0842105	55	1312.3638	41616	2.4617555	2	0.99846399
1900625	-341.6666667	409.5789474	91	3405.0334	176624	2.472604	2	0.99846399
1900626	-341.6666667	417.0736842	142	8643.0957	748320	2.491466	2	0.99846399
1966106	-334.2261905	-2.631578947	240	19070.008	2010896	2.2547703	3	0.928572
1966107	-334.2261905	4.863157895	239	19017.73	2016128	2.2545381	3	0.928572
1966108	-334.2261905	12.35789474	237	18875.484	2000976	2.2540736	3	0.928572
1966109	-334.2261905	19.85263158	224	17962.766	1914960	2.2510591	3	0.928572
1966111	-334.2261905	34.84210526	108	6240.1973	537824	2.0930221	2	0.94752198
1966112	-334.2261905	42.33684211	105	5920.5186	499424	2.0924218	2	0.94752198
1966113	-334.2261905	49.83157895	104	5703.0547	466112	2.0922215	2	0.94752198
1966114	-334.2261905	57.32631579	103	5516.2754	435856	2.0920215	2	0.94752198
1966161	-334.2261905	409.5789474	77	2422.6028	103424	2.4686987	2	0.99846399
1966162	-334.2261905	417.0736842	112	5491.8325	393248	2.4790468	2	0.99846399
1966163	-334.2261905	424.5684211	257	29085.043	4767552	3.1021471	2	0.99846399
2031641	-326.7857143	-10.12631579	238	19018.33	1999552	2.2543058	3	0.928572
2031642	-326.7857143	-2.631578947	238	18963.322	1997872	2.2543058	3	0.928572
2031643	-326.7857143	4.863157895	236	18787.725	1976656	2.2538414	3	0.928572
2031644	-326.7857143	12.35789474	234	18837.719	1989216	2.2533772	3	0.928572
2031648	-326.7857143	42.33684211	103	5757.6929	474624	2.0920215	2	0.94752198
2031649	-326.7857143	49.83157895	104	5551.9248	441872	2.0922215	2	0.94752198
2031650	-326.7857143	57.32631579	102	5313.7217	410704	2.0918217	2	0.94752198
2031651	-326.7857143	64.82105263	102	5159.6045	383920	2.0918217	2	0.94752198
2031697	-326.7857143	409.5789474	56	1336.6746	42256	2.4620326	2	0.99846399
2031698	-326.7857143	417.0736842	104	4568.2031	287216	2.4765217	2	0.99846399
2031699	-326.7857143	424.5684211	235	26366.268	4362720	3.0916283	2	0.99846399
2097176	-319.3452381	-17.62105263	238	19060.236	2004512	2.2543058	3	0.928572
2097177	-319.3452381	-10.12631579	237	18941.479	1994144	2.2540736	3	0.928572
2097178	-319.3452381	-2.631578947	236	18766.738	1967824	2.2538414	3	0.928572
2097179	-319.3452381	4.863157895	234	18773.918	1972416	2.2533772	3	0.928572
2097185	-319.3452381	49.83157895	102	5316.855	408048	2.0918217	2	0.94752198
2097186	-319.3452381	57.32631579	102	5190.854	389728	2.0918217	2	0.94752198
2097187	-319.3452381	64.82105263	102	5012.7876	362896	2.0918217	2	0.94752198
2097188	-319.3452381	72.31578947	101	4837.957	338208	2.0916216	2	0.94752198
2097189	-319.3452381	79.81052632	102	4835.6514	328720	2.0918217	2	0.94752198
