Ref	x	y	Connectivity	Point First Moment	Point Second Moment	Visual Integration [HH]	conn	integ
7798872	384	232	129	6911.769	560384	3.1354845	5	1.6883121
7798873	384	236	308	27009.742	3443552	3.6740339	5	1.3655469
7798874	384	240	290	23417.082	2633584	3.6660321	5	1.3655469
7798875	384	244	266	19796.516	1985984	3.4640725	5	1.3655469
7864333	388	-68	73	2065.116	78000	2.1884735	3	0.99846399
7864334	388	-64	79	2379.9351	94864	2.1897874	3	0.99846399
7864335	388	-60	114	5413.9238	384976	2.4977224	3	0.99846399
7864346	388	-16	69	2129.3569	84832	2.4576085	4	1.254827
7864347	388	-12	77	2423.7073	98176	2.4600952	4	1.254827
7864367	388	68	96	4062.6755	241024	2.9431803	7	1.785715
7864368	388	72	107	5019.2993	319008	2.9475412	7	1.785715
7864377	388	108	233	11556.99	842448	3.2294195	9	1.820729
7864378	388	112	224	11139.164	803280	3.2251358	9	1.820729
7864379	388	116	211	10938.938	817520	3.2940757	9	1.820729
7864380	388	120	179	9598.1064	768464	3.5362873	6	1.6883121
7864381	388	124	139	7236.7222	528640	3.1521962	6	1.6883121
7864382	388	128	135	7011.5903	498240	3.1494741	6	1.6883121
7864383	388	132	133	6781.0117	467200	3.1485677	6	1.6883121
7864384	388	136	133	6654.6553	445520	3.1485677	6	1.6883121
7864385	388	140	132	6518.6831	426992	3.1481147	6	1.6883121
7864386	388	144	135	6466.1504	414128	3.1494741	6	1.6883121
7864387	388	148	157	6815.2988	405552	3.1778312	6	1.6883121
7864388	388	152	152	6407.1196	371632	3.1755254	6	1.6883121
7864389	388	156	143	5990.2397	347424	3.1521962	6	1.6883121
7864390	388	160	135	5584.6377	319424	3.1485677	6	1.6883121
7864391	388	164	119	5094.3354	295520	3.1404343	6	1.6883121
7864392	388	168	115	4912.9917	284192	3.1381824	6	1.6883121
7864393	388	172	110	4488.0659	248144	3.1332397	6	1.6883121
7864394	388	176	105	4168.5527	224384	3.1185045	6	1.6883121
